CEFR,morpheme,correct,misformed,no_suppliance,NOC,OBC,SOC,TLU,SAC,binary,semantic,formal,CI
A2,past_ed,27,1,10,12,38,0.74,0.54,0.56,1,2,2,4
A2,irr_past,45,2,1,2,48,0.98,0.9,0.94,1,2,1,3
A2,plural_s,46,0,3,1,49,0.94,0.92,0.92,1,3,2,5
A2,the,37,0,9,4,46,0.8,0.74,0.74,0,1,0,1
A2,an,22,10,17,1,49,0.65,0.44,0.64,0,1,0,1
A2,poss_s,9,5,14,7,28,0.5,0.26,0.4,1,2,1,3
A2,a,18,0,27,5,45,0.4,0.36,0.36,0,1,0,1
A2,3rd_s,27,0,15,8,42,0.64,0.54,0.54,1,3,2,5
B1,plural_s,50,0,0,0,50,1,1,1,1,3,2,5
B1,past_ed,41,1,3,5,45,0.93,0.82,0.84,1,2,2,4
B1,irr_past,43,1,4,2,48,0.92,0.86,0.88,1,2,1,3
B1,the,35,0,11,4,46,0.76,0.7,0.7,0,1,0,1
B1,a,36,0,9,5,45,0.8,0.72,0.72,0,1,0,1
B1,an,22,4,20,4,46,0.57,0.44,0.52,0,1,0,1
B1,3rd_s,34,0,12,4,46,0.74,0.68,0.68,1,3,2,5
B1,poss_s,16,2,14,3,32,0.56,0.46,0.51,1,2,1,3
B2,past_ed,46,0,1,3,47,0.98,0.92,0.92,1,2,2,4
B2,irr_past,48,1,1,0,50,0.98,0.96,0.98,1,2,1,3
B2,3rd_s,44,0,2,4,46,0.96,0.88,0.88,1,3,2,5
B2,plural_s,45,0,3,2,48,0.94,0.9,0.9,1,3,2,5
B2,poss_s,42,3,3,2,48,0.94,0.84,0.9,1,2,1,3
B2,the,34,0,12,4,46,0.74,0.68,0.68,0,1,0,1
B2,a,38,1,9,2,48,0.81,0.76,0.78,0,1,0,1
B2,an,31,3,11,5,45,0.76,0.62,0.68,0,1,0,1
C1,plural_s,47,0,2,1,49,0.96,0.94,0.94,1,3,2,5
C1,irr_past,45,0,2,3,47,0.96,0.9,0.9,1,2,1,3
C1,3rd_s,44,0,3,3,47,0.94,0.88,0.88,1,3,2,5
C1,poss_s,43,1,5,1,49,0.9,0.86,0.88,1,2,1,3
C1,past_ed,41,0,3,6,44,0.93,0.82,0.82,1,2,2,4
C1,an,37,2,7,4,46,0.85,0.74,0.78,0,1,0,1
C1,the,42,0,6,2,48,0.88,0.84,0.84,0,1,0,1
C1,a,35,0,10,5,45,0.78,0.7,0.7,0,1,0,1
C2,plural_s,48,0,2,0,50,0.96,0.96,0.96,1,3,2,5
C2,irr_past,49,1,0,0,50,1,0.98,1,1,2,1,3
C2,past_ed,47,0,1,2,48,0.98,0.94,0.94,1,2,2,4
C2,an,39,3,7,2,49,0.86,0.76,0.82,0,1,0,1
C2,poss_s,47,2,0,1,49,1,0.94,0.98,1,2,1,3
C2,a,41,0,8,1,49,0.84,0.82,0.82,0,1,0,1
C2,3rd_s,47,0,3,0,50,0.94,0.94,0.94,1,3,2,5
C2,the,44,0,3,3,47,0.94,0.88,0.88,0,1,0,1
